para_id,row,sentence
0,0,[CLS]  8月22日，
0,0,，据央视新闻报道，
0,0,，总台记者目击，
0,0,，天津市位于南开区[SEP]
0,1,[CLS]南京路与万德庄南北街交口处的一栋大厦发生火情，
0,1,，目前从大楼的一[SEP]
0,2,[CLS]侧外立面到顶楼均可见明火，
0,2,，消防部门正在全力进行灭火工作。[SEP]
0,3,[CLS]  据现场视频显示，
0,3,，整个大楼一侧有较严重的明火燃烧，
0,3,，现场黑烟[SEP]
0,4,[CLS]滚滚，
0,4,，路上停有多辆消防救援车辆。[SEP]
0,5,[CLS]  工作人员表示如果有新进展会通过公众号及时发布通报。[SEP]
1,0,[CLS]【知乎】
1,0,】董明珠称「
1,0,「不招只想要多少工资的，
1,0,，希望年轻人知道自己能[SEP]
1,1,[CLS]干什么」
1,1,，你怎么看待这一言论？[SEP]
1,2,[CLS]【知乎】
1,2,】特朗普称将于24日自首，
1,2,，这对其政治生涯意味着什么？
1,2,？对美[SEP]
1,3,[CLS]政坛有何影响？[SEP]
1,4,[CLS]【知乎】
1,4,】中国房地产报呼吁允许开发商以降价促销的方式展开自救，[SEP]
1,5,[CLS]对此如何解读？[SEP]
2,0,[CLS]【树洞】
2,0,】今天北京天气好好，
2,0,，去买咖啡店员说帮我用张券只花了六块[SEP]
2,1,[CLS]钱，
2,1,，没有对象的七夕也可以很开心。[SEP]
2,2,[CLS]【树洞】
2,2,】我也不知道为什么，
2,2,，好像特别招东北人喜欢，
2,2,，前男友是东北[SEP]
2,3,[CLS]的，
2,3,，还有好几个东北的说喜欢我。[SEP]
2,4,[CLS]【树洞】
2,4,】感觉学校里男生有对象的群体总体颜值并不比无恋爱经历的[SEP]
2,5,[CLS]男生颜值高很多，
2,5,，长相一般的男生都是怎么找到的啊。[SEP]
3,0,[CLS]  日本全国渔业协会联合会会长坂本雅信21日重申，
3,0,，反对在未获得[SEP]
3,1,[CLS]国民理解的情况下将福岛核污染水排海，
3,1,，这一点毫无改变。[SEP]
3,2,[CLS]  坂本雅信当天在与日本首相岸田文雄的会见中作出上述表态。
3,2,。尽[SEP]
3,3,[CLS]管岸田文雄在会见中承诺将持续采取必要对策帮助渔业从业者，
3,3,，但坂[SEP]
3,4,[CLS]本雅信依然表达了反对核污染水排海的立场。[SEP]
4,0,[CLS]  环境真的顶！
4,0,！有点经济适用带一点点高档的感觉尤其是进门的海[SEP]
4,1,[CLS]鲜台。
4,1,。靠窗的座位要提前预定，
4,1,，视野一般但主要是开阔。[SEP]
4,2,[CLS]  蒸汽海鲜特点是食材新鲜十干净。
4,2,。清沙清的不错。
4,2,。虽然蛤蚓偶尔[SEP]
4,3,[CLS]有一点沙子。
4,3,。喜欢里面的鲍鱼白蚬子，
4,3,，海带苗。
4,3,。韭菜鸡蛋素蒸饺、
4,3,、酱[SEP]
4,4,[CLS]肉豆角蒸饺都尝试了，
4,4,，首先饺子比较大一只，
4,4,，吃完海鲜后每人吃6只[SEP]
4,5,[CLS]就很撑了。
4,5,。饺子皮偏透明有点像广东的早点虾饺皮。[SEP]
5,0,[CLS]【在襄阳被2块钱的黄酒干倒了】[SEP]
5,1,[CLS]  襄阳老哥的craft_rice_wine。[SEP]
5,2,[CLS]  襄阳管这个叫黄酒。
